name,owners_with_asset_in_project,percent_of_owners_with_asset_in_project,percent_owned,project_floor,total_assets_owned,total_project_floor,total_num_owners,total_supply
Yogies Free Mint Today,52,5.59,1.29,0.05,129,6.45,5438,10000.0
mutant Bored Snake Club,80,8.6,153.85,0.42324,80,33.8592,4004,52.0
Misfits Ape Society Co,33,3.55,66.0,2.1,33,69.3,3005,50.0
Colorpencil Club X BAYC,32,3.44,6.93,0.0,138,0.0,1524,1992.0
the PolarBear,46,4.95,67.65,0.2,46,9.200000000000001,4004,68.0
Storyverse PLOTs,9,0.97,4.87,0.41,146,59.86,1189,3001.0
C-02 Collection,1,0.11,0.02,0.04,1,0.04,2825,5901.0
Moonbirds,839,90.22,24.62,33.4,2462,82230.8,6437,10000.0
The LiI Frens,55,5.91,1.29,0.0,129,0.0,5469,10000.0
Mercedes Benz-OfficiaI,5,0.54,3.7,20.0,11,220.0,189,297.0
DANKBOTS,4,0.43,1.64,0.02,18,0.36,348,1097.0
Shop Pass by Scab Shop,134,14.41,10.24,0.1,256,25.6,1305,2500.0
National Beer Day 2022 - Resonate,64,6.88,6400.0,0.02,64,1.28,8836,1.0
FEWOCiOUS x FewoWorld: Paint,8,0.86,0.12,0.41,9,3.69,2014,7308.0
HyperLoot,15,1.61,0.81,0.03,65,1.95,2431,8050.0
Nounbricks,1,0.11,25.0,0.0,1,0.0,2,4.0
PREMINT Collector Pass - OFFICIAL,312,33.55,5.49,2.75,549,1509.75,7985,10000.0
BEANZ Official,47,5.05,0.85,5.25,170,892.5,6639,19950.0
INFINITE PRESSURE by Chuck Anderson,1,0.11,2.02,10.0,2,20.0,61,99.0
COLORPENCIL X AZUKI,63,6.77,3.77,0.1,188,18.8,3563,4992.0
Anime Metaverse Soul,46,4.95,1.38,0.0,138,0.0,5330,10021.0
Murakami.Flowers Seed,40,4.3,4000.0,6.97,40,278.8,5997,1.0
GoldenDAO Founding Membership,3,0.32,300.0,0.59,3,1.77,258,1.0
MAX PAIN AND FRENS BY XCOPY,76,8.17,1.78,0.9,133,119.7,3702,7469.0
Gutter Punks Flyer - Cool Cats,62,6.67,1.61,0.06,160,9.6,5389,9941.0
Ape Drops 03 : An 8th,2,0.22,150.0,0.02,12,0.24,725,8.0
OKPC,50,5.38,4.2,0.06,344,20.64,3507,8192.0
Ape Drops 02 : American Ape Legendary Moments,3,0.32,225.0,0.04,9,0.36,153,4.0
Ape Drops 01 : Snoop Dogg Ape Tracks,5,0.54,300.0,0.05,12,0.6000000000000001,1254,4.0
MFN Gutter Punks,42,4.52,1.05,0.0,158,0.0,6291,15021.0
GNSS Art by MGXS,14,1.51,0.58,0.43,51,21.93,3518,8868.0
Snoop Dogg on Sound XYZ,12,1.29,2.05,0.04,41,1.6400000000000001,1105,2000.0
GNSS by MGXS,3,0.32,0.46,0.8,3,2.4000000000000004,570,649.0
STAPLEVERSE - POOP GANG - PHASE 2 of 3,3,0.32,0.47,0.1,8,0.8,1241,1694.0
STAPLEVERSE - HOOD SQUAD - PHASE 2 of 3,4,0.43,0.28,0.13,11,1.4300000000000002,1979,3914.0
Pixel Vault MintPass,63,6.77,4900.0,0.24,98,23.52,10058,2.0
Quantum Key,249,26.77,30.57,7.1,317,2250.7,874,1037.0
"Bobu, the Bean Farmer",19,2.04,1900.0,0.18,19,3.42,12207,1.0
Space Doodles,23,2.47,0.83,14.5,43,623.5,1594,5183.0
White Rabbit Producer Pass,8,0.86,800.0,0.1,8,0.8,1518,1.0
Yokai Story,1,0.11,33.33,0.0,1,0.0,3,3.0
RELI3F UKR,35,3.76,402.7,0.0,149,0.0,4018,37.0
Tsubasa By Tabinekokiki,6,0.65,0.91,0.35,13,4.55,457,1423.0
A0K1VERSE Passport,4,0.43,0.17,0.1,4,0.4,1942,2298.0
The Doggies (Snoop Dogg),16,1.72,0.24,0.17,24,4.08,6814,10000.0
FenDAO OG,1,0.11,0.0,0.1,0,0.0,285,1.0
My World - kgUhtEp5ub,1,0.11,33.33,0.0,1,0.0,3,3.0
The Invisibles by Noun Cats,4,0.43,0.21,0.02,7,0.14,1342,3375.0
AMBUSH OFFICIAL POW! REBOOT,5,0.54,0.35,0.09,7,0.63,1235,2022.0
The way back home V2,1,0.11,25.0,0.0,1,0.0,3,4.0
Space Cowboys Official,5,0.54,0.13,0.0,13,0.0,653,10000.0
Kikillo Mix,1,0.11,4.55,0.0,1,0.0,17,22.0
Censored*,38,4.09,0.13,0.0,38,0.0,29766,29766.0
888 Inner Circle - Pink Realm,5,0.54,0.18,0.01,16,0.16,3927,8889.0
WhaleTogether,4,0.43,0.1,0.06,8,0.48,4841,7777.0
Cool Pets NFT,65,6.99,1.01,1.27,192,243.84,10323,19048.0
Dead Ringers: Edition by Dmitri Cherniak,206,22.15,20600.0,0.02,206,4.12,19878,1.0
Neogen Space Monkeys by Dalek x Generative Artworks,12,1.29,1.02,0.02,51,1.02,1884,5000.0
Zipcy's SuperNormal,51,5.48,1.35,0.23,120,27.6,4469,8888.0
Women with secrets,1,0.11,5.26,0.03,1,0.03,2,19.0
SUPERPLASTIC:  Headtripz,5,0.54,0.44,0.07,43,3.0100000000000002,3797,9707.0
WVRPS by WarpSound (Official),42,4.52,1.51,0.2,151,30.200000000000003,4761,9999.0
C-01 Official Collection,4,0.43,0.17,0.11,15,1.65,4770,8888.0
rekt | fees.wtf,20,2.15,0.23,0.02,20,0.4,8506,8607.0
STAPLEVERSE - FEED CLAN - PHASE 1 of 3,10,1.08,0.59,0.09,31,2.79,3090,5281.0
Azuki,52,5.59,1.29,24.0,129,3096.0,5432,10000.0
High school girl  background,1,0.11,16.67,0.0,1,0.0,6,6.0
SuperSF,2,0.22,1.33,0.12,2,0.24,78,150.0
inBetweeners by GianPiero,6,0.65,0.39,0.32,42,13.44,5718,10777.0
Wagumi Cats,2,0.22,0.2,0.05,2,0.1,975,1000.0
Japanese_Mythology,1,0.11,6.67,0.0,1,0.0,8,15.0
adidas Originals Into the Metaverse,97,10.43,9700.0,2.0,97,194.0,21612,1.0
Nishikigoi NFT,1,0.11,0.07,0.03,1,0.03,873,1470.0
Jiometory No Compute - ジオメトリ ハ ケイサンサレマセン by Samsy,16,1.72,2.93,0.33,30,9.9,607,1024.0
PROOF Collective,928,99.78,99.7,115.0,997,114655.0,930,1000.0
Wolf Game - Wool Pouch,22,2.37,1.72,0.26,164,42.64,2946,9523.0
Freehand by WAWAA,4,0.43,2.73,0.06,5,0.3,135,183.0
Oki's World,2,0.22,0.72,0.04,4,0.16,267,555.0
mfers,50,5.38,1.36,2.43,136,330.48,5394,10021.0
RTFKT - Mintdisc 3,7,0.75,1.35,0.68,11,7.48,448,817.0
Wolf Game - Genesis Land,33,3.55,1.48,0.19,296,56.24,5103,19972.0
Wolf Game - Farmer,25,2.69,1.86,0.33,218,71.94,3310,11738.0
NounPunks.eth,24,2.58,0.69,0.04,69,2.7600000000000002,4161,9969.0
High school girl,1,0.11,6.67,0.2,1,0.2,15,15.0
Nyan Aoki,2,0.22,200.0,0.4,2,0.8,94,1.0
Corruption(s*),14,1.51,1.1,0.37,46,17.02,1496,4196.0
ZenAcademy,61,6.56,3200.0,0.35,64,22.4,5388,2.0
Rotae by Nadieh Bremer,3,0.32,0.95,0.07,5,0.35000000000000003,360,529.0
Treasure Crocodiles,1,0.11,0.53,0.07,1,0.07,173,187.0
Smilesssvrs ::),15,1.61,0.35,0.6,31,18.599999999999998,4481,8747.0
Worst Case by 3LAU - royal,4,0.43,1.8,0.9,6,5.4,281,333.0
Diamond Crypto Dunks,2,0.22,0.05,0.09,2,0.18,1598,4200.0
Chromie Squiggle by Snowfro,170,18.28,6.08,6.35,566,3594.1,2380,9305.0
Lissage Angels,1,0.11,0.93,0.3,1,0.3,61,107.0
The Blitnauts,12,1.29,1.33,2.99,20,59.800000000000004,583,1500.0
888 inner circle,21,2.26,2100.0,0.24,21,5.04,2398,1.0
Adam Bomb Squad,45,4.84,0.45,0.35,112,39.199999999999996,8600,24999.0
Nouns,9,0.97,3.48,81.0,10,810.0,176,287.0
VARBARIAN,1,0.11,2.22,0.08,1,0.08,84,45.0
Kawaii Skull,3,0.32,1.15,0.01,115,1.1500000000000001,4111,10023.0
Steve Aoki,4,0.43,0.27,0.11,8,0.88,967,2942.0
SUPERPLASTIC: Cryptojankyz,31,3.33,0.53,0.1,73,7.300000000000001,5834,13868.0
No Ape In The Wild,1,0.11,33.33,0.69,1,0.69,97,3.0
Cool Cats NFT,65,6.99,1.63,6.9,162,1117.8,5507,9941.0
